# Lining the impacts CSV up with the video.
#
# t_ms            this take's own clock - the column the impacts CSV also stamps
# obs_duration_ms OBS's output clock at that instant, in milliseconds
# rtt_ms          how long the round trip took, and so how much the row is worth
#
# video_time_ms = t_ms + offset. Fit the offset through the low-rtt rows rather
# than taking the first one: over a long take the two clocks drift apart, and a
# piecewise fit follows that where a single number cannot.
#
# Written by the devbench, which drove the recording itself - so the mp4 beside
# this file is OBS's whole output and the fitted offset needs no cut subtracted
# out of it. t_ms comes off the game's session clock read across the link, so a
# millisecond or two of the intercept is the socket rather than the picture; the
# slope is unaffected, because that error is the same on every row.
t_ms,obs_duration_ms,rtt_ms
-2407,0,0
-1407,733,0
-406,1733,0
595,2733,0
1596,3733,0
2597,4733,0
3598,5733,0
4599,6733,0
5600,7733,0
6600,8733,0
7601,9733,0
8602,10733,0
9603,11733,0
10604,12733,0
11605,13733,0
12605,14733,0
13606,15749,0
14607,16749,0
15608,17749,0
16076,18199,0
